,Modelo,Kilometraje,Año,Precio,Ubicación de Distribuior,Oferta de Distribuidor
0,Jetta,116583.313,2016,"$15,998",CarMax Hillside (Eisenhower Expy) , Now Offering Curbside Pickup
1,Jetta,125635.547,2016,"$17,998",CarMax Manchester , Now Offering Curbside Pickup
2,Jetta,29399.648,2017,"$22,998",CarMax Glencoe (Edens Expy) , Now Offering Curbside Pickup
3,Passat,125423.159,2017,"$16,998",CarMax Naples , Now Offering Curbside Pickup And Home Delivery
4,Tiguan,47299.773,2018,"$22,998",CarMax McKinney , Now Offering Curbside Pickup And Home Delivery
5,Beetle,82923.033,2013,"$20,998",CarMax El Paso , Now Offering Curbside Pickup
6,Atlas,77248.09,2018,"$40,998",CarMax Capital Boulevard , Now Offering Curbside Pickup And Home Delivery
7,Golf Alltrack,39941.816,2017,"$26,998",CarMax Parker , Now Offering Curbside Pickup And Home Delivery
8,Jetta,39740.691,2019,"$20,998",CarMax Fremont , Now Open
9,Jetta,112341.989,2019,"$19,998",CarMax Gulf Freeway , Now Offering Curbside Pickup And Home Delivery
10,Arteon,11444.817,2021,"$44,998",CarMax St. Louis Mid Rivers Mall , Now Offering Curbside Pickup
11,Jetta,26879.954,2020,"$24,998",CarMax Buena Park , Now Offering Curbside Pickup And Home Delivery
12,Golf R,15906.574,2019,"$44,998",CarMax West Sahara , Now Offering Curbside Pickup And Home Delivery
13,Jetta,72866.783,2017,"$23,998",CarMax Irvine , Now Offering Curbside Pickup And Home Delivery
14,Golf,7227.628,2020,"$25,998",CarMax Fort Bend , Now Offering Curbside Pickup And Home Delivery
15,Tiguan,25615.28,2017,"$21,998",CarMax Miami Lakes , Now Offering Curbside Pickup And Home Delivery
16,CC,48689.949,2016,"$20,998",CarMax Southwest Freeway , Now Offering Curbside Pickup And Home Delivery
17,Jetta,66599.728,2019,"$22,998",CarMax West Sahara , Now Offering Curbside Pickup And Home Delivery
18,Tiguan,20611.29,2020,"$33,998",CarMax Westborough , Now Offering Curbside Pickup
19,Atlas,19768.174,2020,"$44,998",CarMax Frederick , Now Offering Curbside Pickup
